state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_enrollment,total_demographic,total_biometric,total_demo,total_bio,child_ratio,teen_ratio,adult_ratio,bio_demo_ratio
Andaman & Nicobar Islands,Andamans,744101,2,1,0,1,62,98,919,3,63,1017,63,1017,0.5,0.25,0.0,15.890625
Andaman & Nicobar Islands,Andamans,744103,3,1,0,0,13,24,49,4,13,73,13,73,0.6,0.2,0.0,5.214285714285714
Andaman & Nicobar Islands,Andamans,744105,4,0,0,0,20,7,59,4,20,66,20,66,0.8,0.0,0.0,3.142857142857143
Andaman & Nicobar Islands,Andamans,744106,2,2,0,0,18,21,48,4,18,69,18,69,0.4,0.4,0.0,3.6315789473684212
Andaman & Nicobar Islands,Andamans,744107,5,0,0,1,5,0,14,5,6,14,6,14,0.8333333333333334,0.0,0.0,2.0
Andaman & Nicobar Islands,Nicobars,744301,1,0,0,0,1,1,0,1,1,1,1,1,0.5,0.0,0.0,0.5
Andaman & Nicobar Islands,South Andaman,744103,2,0,0,1,25,6,16,2,26,22,26,22,0.6666666666666666,0.0,0.0,0.8148148148148148
Andaman & Nicobar Islands,South Andaman,744105,4,0,0,3,18,7,21,4,21,28,21,28,0.8,0.0,0.0,1.2727272727272727
Andaman & Nicobar Islands,South Andaman,744107,3,0,0,0,4,3,16,3,4,19,4,19,0.75,0.0,0.0,3.8
Andaman & Nicobar Islands,South Andaman,744206,4,0,0,0,9,0,10,4,9,10,9,10,0.8,0.0,0.0,1.0
Andaman and Nicobar Islands,Nicobar,744301,33,9,0,1,33,224,267,42,34,491,34,491,0.7674418604651163,0.20930232558139536,0.0,14.028571428571428
Andaman and Nicobar Islands,Nicobar,744302,1,0,0,3,7,76,86,1,10,162,10,162,0.5,0.0,0.0,14.727272727272727
Andaman and Nicobar Islands,Nicobar,744303,3,0,0,0,10,228,218,3,10,446,10,446,0.75,0.0,0.0,40.54545454545455
Andaman and Nicobar Islands,Nicobar,744304,1,0,0,0,3,76,54,1,3,130,3,130,0.5,0.0,0.0,32.5
Andaman and Nicobar Islands,North And Middle Andaman,744201,5,1,0,1,16,347,317,6,17,664,17,664,0.7142857142857143,0.14285714285714285,0.0,36.888888888888886
Andaman and Nicobar Islands,North And Middle Andaman,744202,17,2,0,39,491,919,814,19,530,1733,530,1733,0.85,0.1,0.0,3.263653483992467
Andaman and Nicobar Islands,North And Middle Andaman,744203,1,0,0,0,2,0,4,1,2,4,2,4,0.5,0.0,0.0,1.3333333333333333
Andaman and Nicobar Islands,North And Middle Andaman,744204,8,0,0,2,23,429,420,8,25,849,25,849,0.8888888888888888,0.0,0.0,32.65384615384615
Andaman and Nicobar Islands,North And Middle Andaman,744205,11,0,0,0,25,550,416,11,25,966,25,966,0.9166666666666666,0.0,0.0,37.15384615384615
Andaman and Nicobar Islands,North And Middle Andaman,744209,4,0,0,1,12,180,140,4,13,320,13,320,0.8,0.0,0.0,22.857142857142858
Andaman and Nicobar Islands,North And Middle Andaman,744210,1,0,0,0,2,94,104,1,2,198,2,198,0.5,0.0,0.0,66.0
Andaman and Nicobar Islands,South Andaman,744101,4,1,0,4,43,729,434,5,47,1163,47,1163,0.6666666666666666,0.16666666666666666,0.0,24.229166666666668
Andaman and Nicobar Islands,South Andaman,744102,9,0,0,6,39,232,194,9,45,426,45,426,0.9,0.0,0.0,9.26086956521739
Andaman and Nicobar Islands,South Andaman,744103,3,0,0,9,73,927,535,3,82,1462,82,1462,0.75,0.0,0.0,17.6144578313253
Andaman and Nicobar Islands,South Andaman,744104,3,0,0,0,5,48,26,3,5,74,5,74,0.75,0.0,0.0,12.333333333333334
Andaman and Nicobar Islands,South Andaman,744105,8,1,0,28,143,926,640,9,171,1566,171,1566,0.8,0.1,0.0,9.104651162790697
Andaman and Nicobar Islands,South Andaman,744106,4,1,0,4,27,253,183,5,31,436,31,436,0.6666666666666666,0.16666666666666666,0.0,13.625
Andaman and Nicobar Islands,South Andaman,744107,3,0,0,6,24,274,162,3,30,436,30,436,0.75,0.0,0.0,14.064516129032258
Andaman and Nicobar Islands,South Andaman,744112,1,0,0,1,5,72,47,1,6,119,6,119,0.5,0.0,0.0,17.0
Andaman and Nicobar Islands,South Andaman,744206,6,1,0,3,31,331,174,7,34,505,34,505,0.75,0.125,0.0,14.428571428571429
Andaman and Nicobar Islands,South Andaman,744207,4,2,0,2,20,525,303,6,22,828,22,828,0.5714285714285714,0.2857142857142857,0.0,36.0
Andhra Pradesh,Adilabad,504001,29,3,0,27,236,412,1878,32,263,2290,263,2290,0.8787878787878788,0.09090909090909091,0.0,8.674242424242424
Andhra Pradesh,Adilabad,504101,3,0,0,11,48,82,111,3,59,193,59,193,0.75,0.0,0.0,3.216666666666667
Andhra Pradesh,Adilabad,504102,8,0,0,6,19,117,167,8,25,284,25,284,0.8888888888888888,0.0,0.0,10.923076923076923
Andhra Pradesh,Adilabad,504103,6,1,0,14,88,336,940,7,102,1276,102,1276,0.75,0.125,0.0,12.388349514563107
Andhra Pradesh,Adilabad,504104,1,1,0,0,13,42,108,2,13,150,13,150,0.3333333333333333,0.3333333333333333,0.0,10.714285714285714
Andhra Pradesh,Adilabad,504105,1,0,0,20,83,52,110,1,103,162,103,162,0.5,0.0,0.0,1.5576923076923077
Andhra Pradesh,Adilabad,504106,8,3,1,21,147,227,666,12,168,893,168,893,0.6153846153846154,0.23076923076923078,0.07692307692307693,5.284023668639053
Andhra Pradesh,Adilabad,504109,4,1,0,3,34,109,265,5,37,374,37,374,0.6666666666666666,0.16666666666666666,0.0,9.842105263157896
Andhra Pradesh,Adilabad,504201,11,0,0,41,404,217,564,11,445,781,445,781,0.9166666666666666,0.0,0.0,1.751121076233184
Andhra Pradesh,Adilabad,504203,5,2,0,5,43,190,383,7,48,573,48,573,0.625,0.25,0.0,11.693877551020408
Andhra Pradesh,Adilabad,504204,5,4,0,10,82,103,317,9,92,420,92,420,0.5,0.4,0.0,4.516129032258065
Andhra Pradesh,Adilabad,504205,3,2,0,23,194,146,452,5,217,598,217,598,0.5,0.3333333333333333,0.0,2.743119266055046
Andhra Pradesh,Adilabad,504206,3,0,0,23,175,118,403,3,198,521,198,521,0.75,0.0,0.0,2.6180904522613067
Andhra Pradesh,Adilabad,504207,14,2,0,8,69,118,385,16,77,503,77,503,0.8235294117647058,0.11764705882352941,0.0,6.448717948717949
Andhra Pradesh,Adilabad,504208,21,3,0,8,77,245,678,24,85,923,85,923,0.84,0.12,0.0,10.732558139534884
Andhra Pradesh,Adilabad,504209,8,0,0,0,29,22,65,8,29,87,29,87,0.8888888888888888,0.0,0.0,2.9
